Time,Driver,LapTime,NumberOfLaps,NumberOfPitStops,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest
0 days 00:40:56.685000,44,0 days 00:01:16.073000,11,3,,,0 days 00:00:26.518000,0 days 00:00:17.292000,0 days 00:00:32.263000,0 days 00:40:07.130000,0 days 00:40:24.422000,0 days 00:40:56.685000,289.0,320.0,307.0,320.0,True
0 days 00:44:18.929000,44,,12,4,,0 days 00:42:36.118000,0 days 00:00:35.441000,0 days 00:00:23.065000,,0 days 00:41:32.396000,0 days 00:41:55.213000,,222.0,266.0,,235.0,False
0 days 00:46:00.127000,44,0 days 00:01:41.198000,13,4,0 days 00:44:23.539000,,0 days 00:00:44.444000,0 days 00:00:19.063000,0 days 00:00:37.691000,0 days 00:45:03.373000,0 days 00:45:22.436000,0 days 00:46:00.127000,258.0,303.0,310.0,156.0,False
0 days 00:47:16.046000,44,0 days 00:01:15.919000,14,4,,,0 days 00:00:26.150000,0 days 00:00:17.223000,0 days 00:00:32.546000,0 days 00:46:26.277000,0 days 00:46:43.500000,0 days 00:47:16.046000,289.0,321.0,306.0,324.0,True
0 days 00:49:00.684000,44,0 days 00:01:44.638000,15,4,,,0 days 00:00:37.652000,0 days 00:00:23.020000,0 days 00:00:43.966000,0 days 00:47:53.698000,0 days 00:48:16.718000,0 days 00:49:00.684000,198.0,259.0,168.0,230.0,False
0 days 00:50:47.180000,44,0 days 00:01:46.496000,16,4,,,0 days 00:00:38.501000,0 days 00:00:24.858000,0 days 00:00:43.137000,0 days 00:49:39.185000,0 days 00:50:04.043000,0 days 00:50:47.180000,,236.0,308.0,183.0,False
0 days 01:00:50.633000,44,,17,5,,0 days 00:52:36.973000,0 days 00:00:26.342000,0 days 00:00:17.060000,,0 days 00:51:13.686000,0 days 00:51:30.636000,,289.0,329.0,,326.0,False
0 days 01:02:55.070000,44,0 days 00:02:04.437000,18,5,0 days 01:01:05.344000,,0 days 00:01:05.014000,0 days 00:00:19.905000,0 days 00:00:39.518000,0 days 01:01:55.647000,0 days 01:02:15.552000,0 days 01:02:55.070000,253.0,293.0,310.0,143.0,False
0 days 01:04:11.397000,44,0 days 00:01:16.327000,19,5,,,0 days 00:00:26.290000,0 days 00:00:17.084000,0 days 00:00:32.953000,0 days 01:03:21.360000,0 days 01:03:38.444000,0 days 01:04:11.397000,290.0,324.0,309.0,327.0,True
0 days 01:09:24.167000,44,,20,6,,0 days 01:05:45.075000,0 days 00:00:35.256000,0 days 00:00:20.419000,,0 days 01:04:46.737000,0 days 01:05:07.051000,,243.0,281.0,,233.0,False
0 days 01:11:16.932000,44,0 days 00:01:52.765000,21,6,0 days 01:09:36.600000,,0 days 00:00:54.880000,0 days 00:00:19.746000,0 days 00:00:38.139000,0 days 01:10:19.047000,0 days 01:10:38.793000,0 days 01:11:16.932000,252.0,288.0,312.0,155.0,False
0 days 01:12:32.905000,44,0 days 00:01:15.973000,22,6,,,0 days 00:00:26.265000,0 days 00:00:17.080000,0 days 00:00:32.628000,0 days 01:11:43.197000,0 days 01:12:00.277000,0 days 01:12:32.905000,290.0,324.0,306.0,328.0,True
