Time,Driver,LapTime,NumberOfLaps,NumberOfPitStops,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest
0 days 00:37:51.754000,5,0 days 00:02:11.720000,9,3,,0 days 00:37:50.099000,0 days 00:00:35.415000,0 days 00:00:36.135000,0 days 00:01:00.170000,0 days 00:36:15.449000,0 days 00:36:51.584000,0 days 00:37:51.754000,229.0,217.0,,234.0,False
0 days 00:40:33.984000,5,,10,3,0 days 00:38:38.183000,,0 days 00:01:19.490000,0 days 00:00:32.688000,0 days 00:00:50.019000,0 days 00:39:11.348000,0 days 00:39:44.143000,0 days 00:40:34.213000,256.0,249.0,267.0,195.0,False
0 days 00:42:06.548000,5,0 days 00:01:32.564000,11,3,,,0 days 00:00:24.852000,0 days 00:00:27.683000,0 days 00:00:40.029000,0 days 00:40:58.836000,0 days 00:41:26.519000,0 days 00:42:06.548000,282.0,278.0,263.0,332.0,True
0 days 00:44:11.477000,5,0 days 00:02:04.929000,12,3,,0 days 00:44:09.850000,0 days 00:00:36.059000,0 days 00:00:34.520000,0 days 00:00:54.350000,0 days 00:42:42.607000,0 days 00:43:17.127000,0 days 00:44:11.477000,132.0,246.0,,268.0,False
0 days 00:15:33.221000,7,,1,0,0 days 00:13:38.445000,,,0 days 00:00:33.158000,0 days 00:00:45.562000,,0 days 00:14:47.837000,0 days 00:15:33.313000,251.0,247.0,265.0,309.0,False
0 days 00:17:06.350000,7,0 days 00:01:33.129000,2,0,,,0 days 00:00:24.791000,0 days 00:00:28.114000,0 days 00:00:40.224000,0 days 00:15:58.012000,0 days 00:16:26.126000,0 days 00:17:06.350000,280.0,274.0,272.0,331.0,True
0 days 00:19:08.929000,7,0 days 00:02:02.579000,3,0,,,0 days 00:00:31.130000,0 days 00:00:37.759000,0 days 00:00:53.690000,0 days 00:17:37.480000,0 days 00:18:15.239000,0 days 00:19:08.929000,174.0,235.0,167.0,199.0,False
0 days 00:21:15.101000,7,0 days 00:02:06.172000,4,0,,,0 days 00:00:33.351000,0 days 00:00:37.366000,0 days 00:00:55.455000,0 days 00:19:42.280000,0 days 00:20:19.646000,0 days 00:21:15.101000,217.0,203.0,268.0,285.0,False
0 days 00:22:47.676000,7,0 days 00:01:32.575000,5,0,,,0 days 00:00:24.609000,0 days 00:00:27.945000,0 days 00:00:40.021000,0 days 00:21:39.710000,0 days 00:22:07.655000,0 days 00:22:47.676000,280.0,274.0,268.0,330.0,True
0 days 00:24:48.969000,7,0 days 00:02:01.293000,6,0,,0 days 00:24:46.841000,0 days 00:00:33.434000,0 days 00:00:35.993000,0 days 00:00:51.866000,0 days 00:23:21.110000,0 days 00:23:57.103000,0 days 00:24:48.969000,177.0,176.0,,306.0,False
