Time,Driver,Position,GapToLeader,IntervalToPositionAhead
0 days 01:18:49.120000,63,3,+4.780,+2.681
0 days 01:18:51.420000,63,3,+4.825,+2.790
0 days 01:18:56.661000,63,3,+4.950,+2.875
0 days 01:19:02.175000,63,3,+4.949,+2.717
0 days 01:19:06.520000,63,3,+5.013,+2.716
0 days 01:19:09.478000,63,3,+4.978,+2.686
0 days 01:19:16.572000,63,3,+4.931,+2.523
0 days 01:19:20.520000,63,3,+4.936,+2.541
0 days 01:19:24.446000,63,3,+4.982,+2.571
0 days 01:19:30.472000,63,3,+5.208,+2.578
0 days 01:19:35.406000,63,3,+5.232,+2.655
0 days 01:19:39.388000,63,3,+5.215,+2.696
0 days 01:19:45.642000,63,3,+5.204,+2.528
0 days 01:19:51.105000,63,3,+5.283,+2.611
0 days 01:19:55.493000,63,3,+5.249,+2.604
0 days 01:20:00.289000,63,3,+5.201,+2.578
0 days 01:20:04.046000,63,3,+5.162,+2.546
0 days 01:20:12.447000,63,3,+5.154,+2.553
0 days 01:20:16.451000,63,3,+5.129,+2.549
0 days 01:20:17.347000,63,3,+5.150,+2.581
0 days 01:20:21.697000,63,3,+5.112,+2.572
0 days 01:20:26.120000,63,3,+5.044,+2.538
0 days 01:20:27.314000,63,3,+5.030,+2.535
0 days 01:20:29.573000,63,3,+5.052,+2.669
0 days 01:20:34.847000,63,3,+5.241,+2.879
0 days 01:20:40.447000,63,3,+5.225,+2.674
0 days 01:20:44.793000,63,3,+5.298,+2.717
0 days 01:20:47.864000,63,3,+5.274,+2.697
0 days 01:20:54.925000,63,3,+5.242,+2.619
0 days 01:20:58.769000,63,3,+5.237,+2.634
0 days 01:21:02.796000,63,3,+5.353,+2.660
0 days 01:21:08.605000,63,3,+5.431,+2.541
0 days 01:21:13.500000,63,3,+5.538,+2.594
0 days 01:21:17.548000,63,3,+5.567,+2.641
0 days 01:21:24.018000,63,3,+5.722,+2.638
0 days 01:21:29.208000,63,3,+5.730,+2.515
0 days 01:21:33.617000,63,3,+5.718,+2.502
0 days 01:21:38.371000,63,3,+5.675,+2.467
0 days 01:21:42.180000,63,3,+5.636,+2.429
0 days 01:21:50.617000,63,3,+5.733,+2.413
0 days 01:21:54.547000,63,3,+5.711,+2.332
0 days 01:21:55.127000,63,3,+5.662,+2.027
0 days 01:22:03.177000,63,4,+5.662,+2.027
0 days 01:22:19.727000,63,5,+5.662,+2.027
0 days 01:22:23.253000,63,6,+5.662,+2.027
0 days 01:22:24.573000,63,7,+5.662,+2.027
0 days 01:22:27.629000,63,8,+5.662,+2.027
0 days 01:22:28.031000,63,8,+24.791,+0.304
0 days 01:22:30.804000,63,8,+25.409,+0.801
0 days 01:22:35.968000,63,8,+25.284,+0.441
0 days 01:22:41.549000,63,8,+25.415,+0.473
0 days 01:22:45.579000,63,8,+25.141,+0.208
0 days 01:22:48.522000,63,8,+25.060,+0.140
0 days 01:22:55.596000,63,7,+25.060,+0.140
0 days 01:22:55.637000,63,7,+24.836,+1.985
0 days 01:22:59.394000,63,7,+24.823,+1.978
0 days 01:23:03.451000,63,7,+24.976,+1.926
0 days 01:23:09.077000,63,7,+24.858,+1.678
0 days 01:23:13.733000,63,7,+24.523,+1.231
0 days 01:23:17.685000,63,7,+24.409,+1.065
0 days 01:23:23.765000,63,7,+24.050,+0.777
0 days 01:23:28.996000,63,7,+23.956,+0.497
0 days 01:23:33.292000,63,7,+23.905,+0.384
0 days 01:23:37.938000,63,7,+23.724,+0.254
0 days 01:23:41.468000,63,7,+23.411,+0.111
0 days 01:23:49.613000,63,6,+23.411,+0.111
0 days 01:23:49.686000,63,6,+23.254,+0.655
0 days 01:23:53.731000,63,6,+23.308,+0.653
0 days 01:23:54.618000,63,6,+23.615,+0.658
0 days 01:23:59.017000,63,6,+18.196,+0.533
0 days 01:24:03.138000,63,5,+18.196,+0.533
0 days 01:24:03.223000,63,5,+4.725,+0.322
0 days 01:24:04.348000,63,5,+4.614,+0.236
